Наименование продукции;CAS;Name;Synonyms
Диоксид титана (пигментный;13463-67-7;Titanium(IV) oxide;Rutile, Tilac D, Titania, C.I. 77891, TiLox-Black, dioxotitanium, pigment white, titanium white, Titanium Oxide, Titanium-oxide, Titanium oxide, Pigment Black 35, Titanium dioxide, Einecs 257-372-4, Titanium(â£)oxide, Titanium(IV)oxide, Taitanium dioxide, Titanium(IV) oxide, C.I. Pigment White 6, Anatase,oxid titanium, Titanium (IV) dioxide, rutile titanium dioxide, Titanium dioxide,rutile, anatase titanium dioxide, Titanium dioxide,anatase, Titanium Dioxide Anatase, Titanium Dioxide food grade
Хлорокись фосфора;10025-87-3;Phosphorus oxychloride;OPCl3, oxychloride, Fosforoxychlorid, Phosphoroxidchlorid, Phosporus Oxychoride, Phosphorus oxychlori, oxychloridfosforecny, Oxychlorid fosforecny, Phosporus Oxychloride, Phosphortrichloridoxid, Phosphorus oxychloride, phosphoric trichloride, phosphollJs oxychloride, Phosphorus oxytrichloride, Phosphorus oxitrichloride, Phosphorus chloride oxide (POCl3)
