Наименование продукции;top_5_patents
Диоксид титана (пигментный;"{""AU2023204413A1"": 0.3904981017112732, ""JP2021169083A"": 0.3904981017112732, ""JP7284154B2"": 0.3904981017112732, ""US11786168B2"": 0.3904981017112732, ""US9983183B2"": 0.3904981017112732}"
Хлорокись фосфора;"{""EP3521282B1"": 0.3809513449668884, ""ES2691742T5"": 0.3809513449668884, ""ES3001457T3"": 0.3809513449668884, ""EP3016949B1"": 0.3809513449668884, ""US11988965B2"": 0.3809513449668884}"
